"zip","city","county","population"
"11368","Corona","Queens","108661"
"11385","Ridgewood","Queens","105025"
"11211","Brooklyn","Kings","104561"
"11208","Brooklyn","Kings","102626"
"10467","Bronx","Bronx","100867"
"11236","Brooklyn","Kings","98821"
"11373","Elmhurst","Queens","96495"
"11226","Brooklyn","Kings","96332"
"10025","New York City","New York","92162"
"11207","Brooklyn","Kings","90867"
"11220","Brooklyn","Kings","90657"
"10456","Bronx","Bronx","90479"
"11234","Brooklyn","Kings","90372"
"11214","Brooklyn","Kings","90372"
"10314","Staten Island","Richmond","89938"
"11219","Brooklyn","Kings","87812"
"11206","Brooklyn","Kings","87599"
"11230","Brooklyn","Kings","87188"
"10458","Bronx","Bronx","85893"
"11221","Brooklyn","Kings","85582"
"11377","Woodside","Queens","82021"
"11229","Brooklyn","Kings","81909"
"11355","Flushing","Queens","81358"
"11223","Brooklyn","Kings","80500"
"11233","Brooklyn","Kings","79796"
"10453","Bronx","Bronx","78858"
"10468","Bronx","Bronx","78778"
"11203","Brooklyn","Kings","77589"
"11235","Brooklyn","Kings","76921"
"11204","Brooklyn","Kings","75840"
"10462","Bronx","Bronx","75441"
"10457","Bronx","Bronx","74679"
"10029","New York City","New York","74617"
"10466","Bronx","Bronx","74519"
"10452","Bronx","Bronx","74379"
"10002","New York City","New York","74363"
"11212","Brooklyn","Kings","74037"
"11218","Brooklyn","Kings","73280"
"11375","Forest Hills","Queens","72615"
"10469","Bronx","Bronx","72550"
"10463","Bronx","Bronx","70236"
"11215","Brooklyn","Kings","69995"
"11691","Far Rockaway","Queens","68454"
"11209","Brooklyn","Kings","68368"
"10472","Bronx","Bronx","67989"
"11706","Bay Shore","Suffolk","67484"
"11213","Brooklyn","Kings","67382"
"11746","Huntington Station","Suffolk","66518"
"11201","Brooklyn","Kings","64798"
"10027","New York City","New York","64728"
"10977","Spring Valley","Rockland","64677"
"11432","Jamaica","Queens","64282"
"14850","Ithaca","Tompkins","64224"
"11372","Jackson Heights","Queens","63107"
"11717","Brentwood","Suffolk","62888"
"11434","Jamaica","Queens","62590"
"11210","Brooklyn","Kings","62423"
"10023","New York City","New York","62228"
"10701","Yonkers","Westchester","61367"
"10312","Staten Island","Richmond","61114"
"10024","New York City","New York","60714"
"10031","New York City","New York","60280"
"10473","Bronx","Bronx","59627"
"11216","Brooklyn","Kings","59567"
"10032","New York City","New York","59527"
"11435","Jamaica","Queens","59392"
"10033","New York City","New York","58648"
"10009","New York City","New York","58267"
"10128","New York City","New York","57993"
"10460","Bronx","Bronx","57514"
"11550","Hempstead","Nassau","57073"
"11225","Brooklyn","Kings","56072"
"11238","Brooklyn","Kings","55102"
"10003","New York City","New York","54671"
"12550","Newburgh","Orange","54503"
"10306","Staten Island","Richmond","54318"
"14221","Buffalo","Erie","53727"
"14580","Webster","Monroe","53593"
"12180","Troy","Rensselaer","53181"
"11758","Massapequa","Nassau","53034"
"10950","Monroe","Orange","53013"
"10016","New York City","New York","52912"
"11354","Flushing","Queens","52351"
"10461","Bronx","Bronx","51081"
"10011","New York City","New York","50228"
"14094","Lockport","Niagara","49792"
"10940","Middletown","Orange","49430"
"10451","Bronx","Bronx","49423"
"10459","Bronx","Bronx","48391"
"10028","New York City","New York","47962"
"11419","South Richmond Hill","Queens","47955"
"11205","Brooklyn","Kings","47866"
"11590","Westbury","Nassau","47468"
"11420","South Ozone Park","Queens","47266"
"11237","Brooklyn","Kings","46772"
"11772","Patchogue","Suffolk","46311"
"11224","Brooklyn","Kings","45587"
"10019","New York City","New York","45521"
"10040","New York City","New York","45197"
"10465","Bronx","Bronx","45066"
"11003","Elmont","Nassau","44712"
"11757","Lindenhurst","Suffolk","44130"
"11228","Brooklyn","Kings","43878"
"10475","Bronx","Bronx","43791"
"14120","North Tonawanda","Niagara","43738"
"11365","Fresh Meadows","Queens","43730"
"11520","Freeport","Nassau","43451"
"10952","Monsey","Rockland","43374"
"11374","Rego Park","Queens","43173"
"10305","Staten Island","Richmond","42968"
"14075","Hamburg","Erie","42958"
"11756","Levittown","Nassau","42856"
"11743","Huntington","Suffolk","42636"
"14450","Fairport","Monroe","42513"
"11217","Brooklyn","Kings","42461"
"12065","Clifton Park","Saratoga","42432"
"10021","New York City","New York","42253"
"12603","Poughkeepsie","Dutchess","42140"
"10304","Staten Island","Richmond","42133"
"13760","Endicott","Broome","42103"
"10034","New York City","New York","41933"
"11580","Valley Stream","Nassau","41930"
"11413","Springfield Gardens","Queens","41810"
"11040","New Hyde Park","Nassau","41523"
"13440","Rome","Oneida","41342"
"14215","Buffalo","Erie","41340"
"14150","Tonawanda","Erie","41144"
"10583","Scarsdale","Westchester","41087"
"12601","Poughkeepsie","Dutchess","41037"
"14224","Buffalo","Erie","40903"
"10801","New Rochelle","Westchester","40445"
"10455","Bronx","Bronx","40300"
"11801","Hicksville","Nassau","40179"
"11367","Flushing","Queens","40141"
"11357","Whitestone","Queens","40118"
"14609","Rochester","Monroe","40081"
"11704","West Babylon","Suffolk","39960"
"10705","Yonkers","Westchester","39848"
"11421","Woodhaven","Queens","39654"
"14701","Jamestown","Chautauqua","39214"
"11378","Maspeth","Queens","39033"
"10026","New York City","New York","38937"
"10573","Port Chester","Westchester","38749"
"12866","Saratoga Springs","Saratoga","38732"
"11779","Ronkonkoma","Suffolk","38091"
"10301","Staten Island","Richmond","38001"
"11554","East Meadow","Nassau","37992"
"11412","Saint Albans","Queens","37987"
"14624","Rochester","Monroe","37873"
"10454","Bronx","Bronx","37807"
"11231","Brooklyn","Kings","37796"
"11379","Middle Village","Queens","37780"
"11561","Long Beach","Nassau","37759"
"11418","Richmond Hill","Queens","37666"
"13021","Auburn","Cayuga","37528"
"11105","Astoria","Queens","37452"
"13501","Utica","Oneida","37132"
"11106","Astoria","Queens","37094"
"10035","New York City","New York","36999"
"13601","Watertown","Jefferson","36982"
"11433","Jamaica","Queens","36929"
"11222","Brooklyn","Kings","36710"
"11358","Flushing","Queens","36665"
"10550","Mount Vernon","Westchester","36382"
"11364","Oakland Gardens","Queens","35866"
"11710","Bellmore","Nassau","35473"
"11103","Astoria","Queens","35419"
"13126","Oswego","Oswego","35369"
"12590","Wappingers Falls","Dutchess","34823"
"12401","Kingston","Ulster","34800"
"10010","New York City","New York","34763"
"14612","Rochester","Monroe","34316"
"11722","Central Islip","Suffolk","34139"
"11510","Baldwin","Nassau","33949"
"13027","Baldwinsville","Onondaga","33937"
"10309","Staten Island","Richmond","33896"
"11787","Smithtown","Suffolk","33837"
"14621","Rochester","Monroe","33757"
"11566","Merrick","Nassau","33626"
"14225","Buffalo","Erie","33360"
"11735","Farmingdale","Nassau","33299"
"12020","Ballston Spa","Saratoga","33235"
"12901","Plattsburgh","Clinton","33048"
"11422","Rosedale","Queens","32786"
"14086","Lancaster","Erie","32653"
"11101","Long Island City","Queens","32537"
"13502","Utica","Oneida","32437"
"14534","Pittsford","Monroe","31975"
"10562","Ossining","Westchester","31847"
"10022","New York City","New York","31574"
"11417","Ozone Park","Queens","31156"
"10704","Yonkers","Westchester","31110"
"10030","New York City","New York","30996"
"12309","Schenectady","Schenectady","30992"
"11731","East Northport","Suffolk","30951"
"12203","Albany","Albany","30837"
"11050","Port Washington","Nassau","30699"
"10956","New City","Rockland","30697"
"11369","East Elmhurst","Queens","30693"
"11793","Wantagh","Nassau","30601"
"14127","Orchard Park","Erie","29964"
"14626","Rochester","Monroe","29941"
"14226","Buffalo","Erie","29920"
"11423","Hollis","Queens","29532"
"12303","Schenectady","Schenectady","29416"
"11370","East Elmhurst","Queens","29366"
"11727","Coram","Suffolk","29262"
"11725","Commack","Suffolk","29229"
"11803","Plainview","Nassau","29208"
"11967","Shirley","Suffolk","29130"
"10014","New York City","New York","29071"
"13090","Liverpool","Onondaga","29017"
"14304","Niagara Falls","Niagara","29001"
"13045","Cortland","Cortland","28975"
"10308","Staten Island","Richmond","28901"
"11720","Centereach","Suffolk","28773"
"11763","Medford","Suffolk","28769"
"11901","Riverhead","Suffolk","28760"
"10598","Yorktown Heights","Westchester","28708"
"11572","Oceanside","Nassau","28673"
"10013","New York City","New York","28657"
"11361","Bayside","Queens","28531"
"11102","Astoria","Queens","28359"
"10036","New York City","New York","28231"
"14424","Canandaigua","Ontario","28055"
"11429","Queens Village","Queens","27808"
"14606","Rochester","Monroe","27711"
"11414","Howard Beach","Queens","27672"
"11530","Garden City","Nassau","27669"
"11542","Glen Cove","Nassau","27666"
"12302","Schenectady","Schenectady","27665"
"12010","Amsterdam","Montgomery","27556"
"11701","Amityville","Suffolk","27264"
"11570","Rockville Centre","Nassau","27240"
"13210","Syracuse","Onondaga","27172"
"10303","Staten Island","Richmond","27164"
"10039","New York City","New York","27090"
"11553","Uniondale","Nassau","26938"
"14616","Rochester","Monroe","26935"
"12306","Schenectady","Schenectady","26934"
"10541","Mahopac","Putnam","26678"
"12553","New Windsor","Orange","26665"
"11001","Floral Park","Nassau","26542"
"11232","Brooklyn","Kings","26501"
"12533","Hopewell Junction","Dutchess","26361"
"11741","Holbrook","Suffolk","26245"
"13905","Binghamton","Broome","26151"
"12804","Queensbury","Warren","26112"
"11416","Ozone Park","Queens","26087"
"12205","Albany","Albany","26039"
"10954","Nanuet","Rockland","25870"
"11791","Syosset","Nassau","25776"
"11729","Deer Park","Suffolk","25597"
"11010","Franklin Square","Nassau","25318"
"11552","West Hempstead","Nassau","25169"
"10710","Yonkers","Westchester","25104"
"11427","Queens Village","Queens","25096"
"11795","West Islip","Suffolk","25062"
"14043","Depew","Erie","25058"
"11104","Sunnyside","Queens","25037"
"10001","New York City","New York","25026"
"11784","Selden","Suffolk","25014"
"14623","Rochester","Monroe","24720"
"10512","Carmel","Putnam","24619"
"10038","New York City","New York","24205"
"11356","College Point","Queens","24178"
"10310","Staten Island","Richmond","24168"
"10566","Peekskill","Westchester","24111"
"13069","Fulton","Oswego","24111"
"14620","Rochester","Monroe","23912"
"10901","Suffern","Rockland","23860"
"14207","Buffalo","Erie","23773"
"11776","Port Jefferson Station","Suffolk","23578"
"14228","Buffalo","Erie","23406"
"14618","Rochester","Monroe","23252"
"10591","Tarrytown","Westchester","23059"
"10012","New York City","New York","23034"
"14217","Buffalo","Erie","23017"
"12078","Gloversville","Fulton","22956"
"11714","Bethpage","Nassau","22769"
"14220","Buffalo","Erie","22641"
"10703","Yonkers","Westchester","22636"
"10471","Bronx","Bronx","22577"
"13208","Syracuse","Onondaga","22560"
